valore,category_1,image_1,category_2,image_2,id_floritaly,id_actaplantarum,nome_com,link_imm,usi_attestati,wikipedia,wikispecies
Celtis australis L. subsp. australis,Cannabaceae,Cannabaceae.png,Celtis australis,Celtis.png,285,500285,"Bagolaro comune, Bagolaro, Spaccasassi",https://www.actaplantarum.org/z_forum/immag/imm.php?i=746910,Entità commestibile Entità officinale; Uso forestale; Uso artigianale,https://it.wikipedia.org/wiki/Celtis_australis,https://species.wikimedia.org/wiki/Celtis_australis
Agrostemma githago L. subsp. githago,Caryophyllaceae,Caryophyllaceae.png,Agrostemma,Agrostemma.png,898,500898,"Gittaione comune, Gittaione, Mazzettone",https://www.actaplantarum.org/z_forum/immag/imm.php?i=360859,Entità officinale,https://it.wikipedia.org/wiki/Agrostemma_githago,https://species.wikimedia.org/wiki/Agrostemma_githago
Agrostemma sp.,Caryophyllaceae,Caryophyllaceae.png,Agrostemma,Agrostemma.png,,,,,,https://it.wikipedia.org/wiki/Agrostemma,https://species.wikimedia.org/wiki/Agrostemma
Caryophyllaceae ND,Caryophyllaceae,Caryophyllaceae.png,ND,Caryophyllaceae.png,5045,505045,"Succiamele garofanato, Orobanche comune",https://www.actaplantarum.org/z_forum/immag/imm.php?i=175415,Nessun utilizzo noto,,
Cerastium fontanum Baumg.,Caryophyllaceae,Caryophyllaceae.png,Cerastium,Cerastium.png,696,500696,"Peverina fontana, Cerastio delle fonti",https://www.actaplantarum.org/z_forum/immag/imm.php?i=159720,Nessun utilizzo noto,https://en.wikipedia.org/wiki/Cerastium_fontanum,https://species.wikimedia.org/wiki/Cerastium_fontanum
Cerastium glomeratum Thuill.,Caryophyllaceae,Caryophyllaceae.png,Cerastium,Cerastium.png,704,500704,"Peverina dei campi, Cerastio agglomerato",https://www.actaplantarum.org/z_forum/immag/imm.php?i=648817,Entità officinale,https://en.wikipedia.org/wiki/Cerastium_glomeratum,https://species.wikimedia.org/wiki/Cerastium_glomeratum
Cerastium sp.,Caryophyllaceae,Caryophyllaceae.png,Cerastium,Cerastium.png,,,,,,https://it.wikipedia.org/wiki/Cerastium,https://species.wikimedia.org/wiki/Cerastium
Dianthus armeria L. subsp. armeria,Caryophyllaceae,Caryophyllaceae.png,Dianthus,Dianthus.png,950,500950,"Garofano a mazzetti, Garofano armeria",https://www.actaplantarum.org/z_forum/immag/imm.php?i=608788,Nessun utilizzo noto,https://en.wikipedia.org/wiki/Dianthus_armeria,https://species.wikimedia.org/wiki/Dianthus_armeria
Dianthus sp.,Caryophyllaceae,Caryophyllaceae.png,Dianthus,Dianthus.png,,,,,,https://it.wikipedia.org/wiki/Dianthus,https://species.wikimedia.org/wiki/Dianthus
Minuartia sp.,Caryophyllaceae,Caryophyllaceae.png,Minuartia,Minuartia.png,,,,,,https://en.wikipedia.org/wiki/Minuartia,https://species.wikimedia.org/wiki/Minuartia
Moehringia trinervia (L.) Clairv.,Caryophyllaceae,Caryophyllaceae.png,Moehringia trinervia ,Moehringia.png,601,500601,"Moehringia a 3 nervi, Moehringia a tre nervi",https://www.actaplantarum.org/z_forum/immag/imm.php?i=655944,Nessun utilizzo noto,https://en.wikipedia.org/wiki/Moehringia_trinervia,https://species.wikimedia.org/wiki/Moehringia_trinervia
Petrorhagia prolifera (L.) P.W.Ball & Heywood,Caryophyllaceae,Caryophyllaceae.png,Petrorhagia prolifera,Petrorhagia.png,923,500923,"Garofanina annuale, Tunica prolifera",https://www.actaplantarum.org/z_forum/immag/imm.php?i=96240,Nessun utilizzo noto,https://en.wikipedia.org/wiki/Petrorhagia_prolifera,https://species.wikimedia.org/wiki/Petrorhagia_prolifera
Saponaria officinalis L.,Caryophyllaceae,Caryophyllaceae.png,Saponaria,Saponaria.png,917,500917,Saponaria comune,https://www.actaplantarum.org/z_forum/immag/imm.php?i=568180,Entità officinale; Uso cosmetico profumiero; Uso artigianale,https://it.wikipedia.org/wiki/Saponaria_officinalis,https://species.wikimedia.org/wiki/Saponaria_officinalis
Saponaria sp.,Caryophyllaceae,Caryophyllaceae.png,Saponaria,Saponaria.png,,,,,,https://it.wikipedia.org/wiki/Saponaria,https://species.wikimedia.org/wiki/Saponaria
Scleranthus annuus L.,Caryophyllaceae,Caryophyllaceae.png,Scleranthus,Scleranthus.png,740,500740,"Centograni annuo, Scleranto annuale",https://www.actaplantarum.org/z_forum/immag/imm.php?i=85663,Nessun utilizzo noto,https://it.wikipedia.org/wiki/Scleranthus_annuus,https://species.wikimedia.org/wiki/Scleranthus_annuus
Silene dichotoma Ehrh.,Caryophyllaceae,Caryophyllaceae.png,Silene,Silene.png,871,500871,Silene dicotoma,,Nessun utilizzo noto,https://en.wikipedia.org/wiki/Silene_dichotoma,https://species.wikimedia.org/wiki/Silene_dichotoma
Silene gallica L.,Caryophyllaceae,Caryophyllaceae.png,Silene,Silene.png,876,500876,"Silene gallica, Silene di Francia",https://www.actaplantarum.org/z_forum/immag/imm.php?i=17945,Nessun utilizzo noto,https://en.wikipedia.org/wiki/Silene_gallica,https://species.wikimedia.org/wiki/Silene_gallica
Silene italica (L.) Pers. subsp. sicula (Ucria) Jeanm.,Caryophyllaceae,Caryophyllaceae.png,Silene,Silene.png,800,500800,Silene siciliana,https://www.actaplantarum.org/z_forum/immag/imm.php?i=530210,Nessun utilizzo noto,https://it.wikipedia.org/wiki/Silene_italica,https://species.wikimedia.org/wiki/Silene_italica
Silene latifolia Poir.,Caryophyllaceae,Caryophyllaceae.png,Silene,Silene.png,849,500849,Silene latifoglia,https://www.actaplantarum.org/z_forum/immag/imm.php?i=614676,Entità commestibile Entità officinale,https://en.wikipedia.org/wiki/Silene_latifolia,https://species.wikimedia.org/wiki/Silene_latifolia
Silene sp.,Caryophyllaceae,Caryophyllaceae.png,Silene,Silene.png,,,,,,https://it.wikipedia.org/wiki/Silene,https://species.wikimedia.org/wiki/Silene
Spergula arvensis L.,Caryophyllaceae,Caryophyllaceae.png,Spergula arvensis,Spergula.png,778,500778,"Renaiola comune, Spergula dei campi",https://www.actaplantarum.org/z_forum/immag/imm.php?i=12486,Entità commestibile,https://en.wikipedia.org/wiki/Spergula_arvensis,https://species.wikimedia.org/wiki/Spergula_arvensis
Stellaria graminea L.,Caryophyllaceae,Caryophyllaceae.png,Stellaria,Stellaria.png,665,500665,"Centocchio gramignola, Stellaria graminea",https://www.actaplantarum.org/z_forum/immag/imm.php?i=52273,Nessun utilizzo noto,https://en.wikipedia.org/wiki/Stellaria_graminea,https://species.wikimedia.org/wiki/Stellaria_graminea
Stellaria media (L.) Vill.,Caryophyllaceae,Caryophyllaceae.png,Stellaria,Stellaria.png,657,500657,"Centocchio comune, Stellaria comune, Paperina, Budellina",https://www.actaplantarum.org/z_forum/immag/imm.php?i=648821,Entità officinale,https://it.wikipedia.org/wiki/Stellaria_media,https://species.wikimedia.org/wiki/Stellaria_media
Stellaria nemorum L.,Caryophyllaceae,Caryophyllaceae.png,Stellaria,Stellaria.png,653,500653,Centocchio dei boschi,https://www.actaplantarum.org/z_forum/immag/imm.php?i=756173,Nessun utilizzo noto,https://en.wikipedia.org/wiki/Stellaria_nemorum,https://species.wikimedia.org/wiki/Stellaria_nemorum
Stellaria sp.,Caryophyllaceae,Caryophyllaceae.png,Stellaria,Stellaria.png,,,,,,https://it.wikipedia.org/wiki/Stellaria,https://species.wikimedia.org/wiki/Stellaria
Lychnis/Silene sp. ,Caryophyllaceae,Caryophyllaceae.png,Lychnis/Silene sp. ,Lychnis_Silene.png,,,,,,,
